input_text,priority_binned,bug_resolution_time
@PreAuthorize in combintation with @ModelAttribute fails,Low,Long-Term
"When username contains backslash, an extra backslash is added.",Low,Long-Term
AD attribute 'sn' required when creating LdapUserDetails,Low,Long-Term
http elements in xml config causes java config HttpSecurity to be ignored.,Low,Short-Term
ActiveDirectoryLdapAuthenticationProvider doesnt work on JBoss ,Low,Long-Term
NullPointerException in AccountStatusUserDetailsChecker,Low,Long-Term
AbstractPreAuthenticatedProcessingFilter assumes principal is a string,Low,Short-Term
Fix Invalid Links in Documentation,Low,Long-Term
Remove spring-core dependency from spring-security-crypto,Low,Long-Term
BasicAuthenticationFilter reports 401 when error occurs with authentication,Low,Long-Term
BasicAuthenticationFilter decodes the Passwords with UTF-8,Low,Long-Term
Race condition in HttpSessionSecurityContextRepository removes a valid context,Low,Long-Term
spring-security-samples-aspectj-xml unit tests fail to throw exceptions,Low,Long-Term
Openid Authentication issue with google,Medium,Long-Term
authorities-by-username-query: The first field of the query is passed as paramater value,Medium,Long-Term
XSS reflect attack: found in Post parameter _csrf,Medium,Short-Term
Failed Tests in Samples Running With Maven,Low,Long-Term
Cache-control overriding not possible,Low,Long-Term
Spring security version check reports incorrectly.,Low,Short-Term
ApacheDSContainer should specify ClassLoader to LdiffFileLoader,Low,Short-Term
Password field is too small,Low,Long-Term
CsrfToken invalidated when using PreAuthenticatedProcessingFilter with checkForPrincipalChanges enabled,Medium,Long-Term
SaveContextOnUpdateOrErrorResponseWrapper.SaveContextServletOutputStream does not implement Servlet 3.1 abstract methods,Low,Long-Term
Documentation Has Broken Links,Low,Long-Term
initFilterBean() is not called within AbstractAuthenticationProcessingFilter,Low,Long-Term
WithSecurityContextTestExecutionListener should override getOrder() instead of using @Order,Low,Long-Term
SavedRequestAwareAuthenticationSuccessHandler ignores configured RequestCache,Medium,Long-Term
ExpressionBasedMessageSecurityMetadataSourceFactory configures null TrustResolver on DefaultMessageSecurityExpressionHandler,Low,Long-Term
DaoAuthenticationProvider shadows actual authentication exceptions,Low,Long-Term
lazyBean() should be able to detect an existing @Lazy proxy,Low,Long-Term
@EnableGlobalMethodSecurity is not respecting mode = AdviceMode.ASPECTJ,Low,Short-Term
Consistent Usage of LDAP Host,Low,Long-Term
CVE-2014-3527 CAS Service Can Impersonate Another CAS Service When Using Proxy Tickets,Medium,Long-Term
Unable to start embedded LDAP server if root contains only a single DC component,Medium,Long-Term
HSTS Documentation refers to http.hsts() instead of http.httpStrictTransportSecurity(),Low,Long-Term
Broken Link in Documentation,Low,Long-Term
 ActiveDirectoryLdapAuthenticationProvider should wrap communication exceptions in InternalAuthenticationServiceException,Low,Long-Term
Eager instantiation in @EnableGlobalMethodSecurity can cause issues for user-defined beans,Low,Long-Term
Move config integration-test *.groovy to groovy source folder,Low,Short-Term
Update Thymeleaf to use Spring 4 variants in samples,Low,Short-Term
Security Configuration Not Registered In a Jar Module.,Medium,Short-Term
accesscontrollist tag documentation incorrectly states hasPermission is an or,Medium,Long-Term
javax.naming.AuthenticationException handling in BindAuthenticator ,Medium,Long-Term
Documentation copy/past fail,Low,Long-Term
Spring Security Config's OSGi manifest requires LDAP,Medium,Long-Term
spring-faces + probleme with url parameters,Low,Long-Term
DaoAuthenticationProvider  contains unnecessary check if password is valid,Low,Short-Term
CAS Server Should Logout Synchronously,Low,Short-Term
ApacheDSServerIntegrationTests should scan for available port,Low,Short-Term
Spring Security not working with configurations in Parent Application Contect,Medium,Short-Term
config groovy integration tests are not ran,Low,Short-Term
@EnableGlobalMethodSecurity creates JDK dynamic proxies instead of using AspectJ advices,Medium,Long-Term
spring mvc test SecurityRequestPostProcessors missed,Low,Short-Term
application can't find spring-security-3.0.4.xsd in http://www.springframework.org/schema/security/,Low,Long-Term
Javadoc refers to http.channelSecurity(),Low,Long-Term
"Add missing whitespace to reference ""used by_`AbstractSecurityInterceptor`""",Low,Short-Term
ArrayIndexOutOfBoundsException in IpAddressMatcher,Low,Long-Term
Default JavaConfig SessionRegistryImpl does not receive SessionDestroyedEvents,Low,Long-Term
RequestHeaderRequestMatcher constructor argument name has typo,Low,Short-Term
Failures in UserDetailsService should produce errors in the console,Low,Short-Term
LogoutConfigurer supports GET by default when CSRF is enabled,Low,Short-Term
login page not loaded correctly in openid-jc sample,Low,Short-Term
Failing ApacheDSContainerTests when port is taken,Low,Short-Term
hellomvc.asc should use @Import(SecurityConfig.class),Low,Short-Term
Classloader leak in Java 7 and 8 but not 6,Low,Long-Term
java.lang.IllegalAccessError: class org.springframework.security.config.annotation.authentication.configuration.$Proxy90 cannot access its superinterface <omitted>.AuthenticationConfiguration$LazyBean,Medium,Long-Term
AuthenticationSwitchUserEvent is published before the actual Authentication object is placed in SecurityContext,Low,Long-Term
Failure to fully configurate SessionFixationProtectionStrategy,Medium,Long-Term
Logout Does Not Require POST even though CSRF is enabled,Medium,Long-Term
Exclude dependencies with duplicate classes,Low,Short-Term
net.sourceforge.nekohtml dependency missing for openid,Low,Long-Term
Global AuthenticationManagerBuilder#eraseCredentials=false does not work,Low,Short-Term
Add disclaimer about jdbcAuthentication() with persistent data stores,Low,Long-Term
IllegalAccessError: $Proxy95 cannot access its superinterface AuthenticationConfiguration$LazyBean,Medium,Short-Term
BasicAuthenticationFilter does not respect charset encoding,Low,Long-Term
Issue with Spring Security MethodSecurityEvaluationContext lookupVariable and addArgumentsAsVariables methods,Medium,Short-Term
"UserDetailsService javadoc repeats ""insensitive""",Low,Short-Term
Stackoverflow with @Bean AuthenticationManager,Low,Short-Term
Fix typo in hellowmvc.asc,Low,Short-Term
Fix typo in reference udates -> updates,Low,Short-Term
Remove double ALLOW-FROM from X-Frame-Options header,Medium,Short-Term
Classes that supported ~.web.util.RequestMatcher in 3.1.x should still support it,Low,Short-Term
Overriding @PreAuthorize annotations on sub-interfaces does not behave as expected.,Low,Long-Term
checkForPrincipalChanges limited to String Principal,Low,Long-Term
DefaultLdapAuthoritiesPopulator should allow to use the DN as value for groupRoleAttribute,Low,Long-Term
Javadoc for DefaultLdapAuthoritiesPopulator lists wrong class name & incorrect property,Low,Long-Term
ExpressionUrlAuthorizationConfigurer.interceptUrl Javadoc incorrect,Low,Short-Term
Programmatic authentication in a web application is undoable,Medium,Long-Term
Documentation and Javadoc errors with WebSecurityConfigurerAdapter and HttpSecurity,Low,Short-Term
Can't use recommended BCryptPasswordEncoder for PasswordComparisonAuthenticator on a Ldap Authenticator,Low,Long-Term
CSRF protection does not work with multipart requests,Medium,Short-Term
Spring MVC form tag no longer inserting CSRF token after upgrading to Spring Security 3.2.0.RELEASE,Low,Short-Term
Adding spring-security-config to classpath breaks Spring 4.0 Objenesis support,Low,Short-Term
Multiple WebSecurityConfiguration instances cause null springSecurityFilterChain,Low,Long-Term
"Warning ""Method 'setFilterProcessesUrl' is marked deprecated"" on http-login and http-logout tag",Low,Long-Term
form@login-processing-url and logout@logout-url produce warnings,Low,Long-Term
Spring Security Multi Page documentation,Low,Long-Term
httpBasic POST failing with 403 null csrf token,Low,Long-Term
JdbcMutableAclServiceTests should invoke aclCache.clearCache() after tests,Low,Short-Term
posting to httpBasic protected url fails because of missing csrf token with two HttpSecurity java configs,Low,Long-Term
WebSecurity.expressionHandler(null) causes illegalArgumentException,Low,Long-Term
/login?logout incorrectly redirects to /login with two HttpSecurity java configs,Medium,Long-Term
sec:authorize url=... tag does not work with two java HttpSecurity configs,Medium,Long-Term
HttpSessionCsrfTokenRepository setHeaderName uses parameterName,Low,Short-Term
UrlAuthorizationConfigurer missing <HttpSecurity> in doc,Low,Short-Term
ExpressionUrlAuthorizationConfigurer with custom Voter,Low,Long-Term
 ambiguous method for UrlAuthorizationConfigurer,Low,Long-Term
Subsequent requests from the same browser break remember me function and throws CookieTheftException,Low,Long-Term
Error message in ExpressionBasedPostInvocationAdvice does not use messages.properties,Low,Long-Term
Using MessageSource with properties files in WEB-INF directory fails,Medium,Long-Term
AclFormattingUtils.printBinary does not handle negative,Low,Short-Term
BadLdapGrammarException with search result from referral,Low,Long-Term
Disabling HttpSession raises CsrfFilter related exception,Medium,Short-Term
DaoAuthenticationProvider.java leaks user account existence information to login attempt caller,Low,Long-Term
Unexpectedly long key created by KeyBasedPersistenceTokenService.allocateToken(),Low,Long-Term
Import Samples with Maven produces missing spring-security-samples-messages-jc:jar:3.2.0.RC2 ,Low,Long-Term
Interceptors breaks an ability to add custom attribute types from ldif on embedded LDAP server,Low,Long-Term
DEBUG statement with Failed to perform build and stacktrace should be stated as OK,Low,Long-Term
User logged-out in concurrent request is re-authenticated ,Medium,Long-Term
AutowireBeanFactoryObjectPostProcessor does not work with BeanNameAutoProxyCreator,Medium,Short-Term
unlimited session count with ConcurrentSessionControlStrategy,Low,Long-Term
CSRF Multipart documentation bug,Low,Short-Term
Handle EnableWebSecurity in parent and child context,Low,Long-Term
Document/Fix CSRF behavior with pre-auth,Low,Short-Term
Remember me not work with container managed authentication on Websphere 8.5,Low,Long-Term
Wrong docs in xsd files.,Low,Long-Term
Remember me not work with Websphere 8.5,Low,Long-Term
ProviderManager doesn't report InternalAuthenticationServiceExceptions,Medium,Long-Term
intercept-url does not support method=PATCH,Medium,Long-Term
Cannot build samples from maven pom,Low,Short-Term
ConcurrentModificationException in AuthorityUtils,Low,Long-Term
HttpSessionCsrfTokenRepository creates sessions unecessarily,Low,Short-Term
Warning when using 3.2.0.RC2 with Spring Framework 4.0,Low,Long-Term
DefaultPermissionGrantingStrategy directly compares permission mask,Medium,Long-Term
ACL documentation refers to non-existent samples,Low,Long-Term
GlobalMethodSecurityConfiguration does not configure the proper voters,Medium,Short-Term
"Cache Control should include ""Expires: 0""",Low,Short-Term
CacheControlHeadersWriter should be single header,Medium,Short-Term
Document SecurityExpressionRoot,Low,Long-Term
CSFR Protection fails with multipart/form-data,Medium,Short-Term
AuthorizePrincipalArgumentResolver allow null if incorrect class,Low,Short-Term
Session Fixation protection can improperly log warning about not being protected,Low,Long-Term
GlobalMethodSecurityConfiguration has two methods for the Expression Handler,Low,Long-Term
WebSecurity's default expression handler does not have the bean resolver set,Low,Long-Term
Allow filters to register in front of SpringSecurityFilterChain,Low,Long-Term
GlobalMethodSecurityConfiguration's DefaultWebSecurityExpressionHandler has null BeanResolver,Low,Long-Term
HttpServletRequest.login should throw ServletException if already authenticated,Low,Short-Term
Remove ERROR log when Spring Security is embedded into an UberJar,Low,Short-Term
Fix internal links within reference,Low,Short-Term
Broken links to documentation on website,Low,Short-Term
Fix SessionFixationConfigurer#changeSessionId Javadoc,Low,Short-Term
Thyemleaf and WebSecurityExpressionRoot missing,Low,Long-Term
Delay storing the CsrfToken until the CsrfToken is accessed,Low,Short-Term
InvalidCsrfTokenException on POST after switching from 3.2.0.M2 to 3.2.0.RC1,Low,Long-Term
ns-config typo with http@interecept-url with method taking precidence,Low,Long-Term
HttpSessionRequestCache.getRequest performs cast to concrete DefaultSavedRequest instead of interface SavedRequest,Low,Long-Term
"Typo in technical overview with ""source source""",Low,Short-Term
API documentation for FirewalledRequest.reset() incomplete,Low,Short-Term
Cleanup Optional Dependencies,Low,Long-Term
Change Import-Package statement for org.openid4java.consumer to optional,Low,Long-Term
AbstractAuthenticationProcessingFilter (and similar filters) should match on exact URLs by default,Low,Long-Term
FirewallRequest#reset() has incomplete javadoc,Low,Short-Term
Javadoc error - WebSecurityConfigurerAdapter.registerAuthentication & EnableWebSecurity refer to wrong parameter,Low,Short-Term
OpenId Attribute Exchange does not work with Intuit Provider,Low,Long-Term
Injecting AuthenticationManager to SecurityContextHolderAwareRequestFilter,Low,Short-Term
Problems with the spring security annotation config social sample,Low,Short-Term
ExceptionTranslationFilter not handling IS_AUTHENTICATED_FULLY in remember-me situation,Medium,Long-Term
@PreAuthorize doesn't work with method wich using generics,Medium,Long-Term
Support WebApplicationContext in any ServletContext attribute,Medium,Long-Term
"<sec:authorize url=""""> could use wrong WebInvocationPrivilegeEvaluator",Medium,Long-Term
PermGen leak after undeploying an webapp used LDAP connections,Medium,Long-Term
SPRING_SECURITY_LAST_EXCEPTION not saved when using ExceptionMappingAuthenticationFailureHandler,Low,Long-Term
DefaultRedirectStrategy could be less vulnerable to open redirect phishing attacks,Low,Long-Term
PersistentRememberMeToken not Serializable. Incompatible with Spring HttpInvoker.,Medium,Long-Term
spring-security-3.1.xsd incorrectly describes auto-config attribute,Low,Short-Term
Building source fails. Can't get cas-server-webapp-3.4.3.1.pom.,Medium,Long-Term
JdbcUserDetailsManager populates old password when changing a password,Low,Long-Term
"Can not parameterize remember me ""token-validity-seconds""",Low,Long-Term
openid-login has username and password parmameters,Low,Long-Term
ApacheDSContainer should throw RuntimeException on failure to start,Low,Short-Term
<ldap-server> should select unique directory if one is not provided,Low,Short-Term
Spring security SPeL expressions do not use short circuit evaluation,Medium,Short-Term
JAAS LoginModule.logout method not invoked on /j_spring_security_logout,Medium,Long-Term
@Secured annotation and Scala controller,Low,Long-Term
Spring Security 3.2.0M1 and 3.1.3 release not compatible with spring framework 3.2.1 release with OSGi,Medium,Short-Term
Error message still mentioning version 3.1,Low,Short-Term
AclAuthorizationStrategyImpl javadoc should list actions in correct order,Low,Short-Term
Order of named filter positions in spring-security.xsd is wrong,Low,Long-Term
RoleHierarchyVoter sample incorrectly ends with </class>,Low,Short-Term
intercept-url@requires-channel ChannelAuthenticationFilter,Low,Long-Term
SavedRequestAwareAuthenticationSuccessHandler should not redirect to Ajax requests,Low,Short-Term
Docs mention 402 (payment required) in session management section,Low,Long-Term
BCrypt.checkpw gives false positive when long pw with same prefix.,Low,Short-Term
Incorrect spring-security-acl artifact for version 2.0.8.RELEASE in Maven Central,Low,Long-Term
CAS & Concurrent session managent doesn't work together,Medium,Long-Term
ExceptionMappingAuthenticationFailureHandler does not forward to failure destination,Low,Long-Term
LDAP reference incorrectly spells GrantedAuthoritiesMapper,Low,Long-Term
Querying token for series: thread dump for info level ,Low,Long-Term
Custom BeanPostProcessor are not applied for beans referenced by security infrastructure (Again),Medium,Short-Term
CookieClearingLogoutHandler doesn't work correctly when servlet container adds an extra '/' at the end of the contextPath ,Low,Long-Term
GlobalMethodSecurityBeanDefinitionParser.AuthenticationManagerDelegator attempts to get a bean using the concrete implementation,Medium,Long-Term
Spring security login form is not rendered correctly in GWT application,Low,Short-Term
Pre-authentication fails when using check for principal change and using non String principals,Medium,Long-Term
Spring Security 3.1.3 is not published on the SpringSource EBR ,Low,Long-Term
Injection of MethodSecurityMetadataSource through XML,Low,Long-Term
Spring Security does not appear in the Spring repositories,Low,Long-Term
<security:anonymous> no longer supports multiple authories,Low,Short-Term
Reference - FilterSecurityMetadataSource instead of FilterInvocationSecurityMetadataSource ,Low,Short-Term
Attribute exchange UTF8 encoding problem,Medium,Long-Term
Security context incorrectly removed from session when asynchronous servlet used,Medium,Short-Term
ConcurrentModificationException when intercepting method pointcut,Medium,Long-Term
invalid 302 redirect on login,Medium,Short-Term
HttpSession returned null object for SPRING_SECURITY_CONTEXT,Low,Short-Term
CVE-2012-5055 DaoAuthenticationProvider can reveal which usernames are valid,Low,Long-Term
SaveContextServletOutputStream should delegate flush and close methods to wrapped ServletOutputStream,Medium,Short-Term
RememberMe cookie can bypass concurrency control,Low,Short-Term
Spring Security trims role names altough this is not defined,Low,Long-Term
AbstractAuthorizeTag cannot specify which WebInvocationPrivilegeEvaluator,Low,Long-Term
DefaultSpringSecurityContextSource can't handle spaces in baseDn constructor arg,Low,Long-Term
Upgrading from 3.1.1 to 3.1.2 causes problem with Jetty AJP,Medium,Short-Term
Annotations added to entities are also added to proxy methods,Low,Long-Term
ElementsToRemove that are not in existingHoldingElements,Low,Long-Term
Roo command works fine on 1.2.2.RELEASE but not on 1.2.3.RELEASE,Medium,Long-Term
ROO 1.2.2 and 1.2.3 don't update managed ui java classes when updating the XML.,Low,Long-Term
ROO-633 fix does not work,Medium,Long-Term
can't install cloud foundry addon,Medium,Long-Term
setAcceptableValues(Collection collection) method is still added to EditViews when field is marked read-only in proxies.  ,Low,Long-Term
"Roo reset all controller .java files (deleting all handwritten code) after command ""web mvc all --package com.xyz.package",Medium,Long-Term
field reference command doesn't accept --permitReservedWords argument on last position on line after --cardninality definition  ,Low,Short-Term
Incorrect java types are displayed for the --extends option,Low,Short-Term
Unexpected behavior when version field is null,Low,Short-Term
Entity import definition loses the static modifier when a field is added,Medium,Short-Term
Compilation errors using web jsf setup and java 1.6,Low,Short-Term
STS-New Roo Project=>Project 'test1' is missing required source folder: 'src/test/resources',Medium,Short-Term
create JPA serializable embeddable: UnsupportedOperationException,Medium,Short-Term
roo tells ajdt to write file to non existant folder,Medium,Short-Term
Accessor functions created in both _Jpa_Entity and _JavaBean for @Id members.,Low,Short-Term
Error when i generate a converter for entity with composite pk,Low,Short-Term
NullPointerException thrown by Roo Shell prevents Roo from adding ITDs to a service,Medium,Short-Term
NullPointerException at ConversionServiceMetadata when push in method of ApplicationConversionServiceFactoryBean,Low,Long-Term
DBRE cannot install postgresql jdbc driver,Low,Short-Term
can't change name or delete persistence methods ,Low,Short-Term
Scaffolding for Controllers with spring data,Medium,Short-Term
JUnit test failure in committed trunk,Low,Short-Term
Eclipse Roo project is created in wrong place,Low,Short-Term
Hibernate startup fails when JoinColumns has multiple JoinColumn with distinct nullable attribute values,Medium,Long-Term
Inconsistent propetries names for mongo database.,Low,Long-Term
Generated mvc scaffold with compilation error at entity with same name and identifier field name,Medium,Long-Term
Field errors are not shown when use Spring Roo tags,Medium,Long-Term
Generated toString method can throws OutOfMemoryError,Medium,Long-Term
"Rest URL error when entity has ""/"" chars at identifier",Medium,Long-Term
STS 3.0.0.Release / GWT: missing Field in template files,Medium,Long-Term
Hibernate sequence not exists when reverse engineering a database,Medium,Short-Term
Reverse engineering a database table with version column name when is not a @Version,Medium,Short-Term
Complex database Reverse Engineering not works,Medium,Short-Term
DBRE Bug: TIMESTAMP column annotated as DATE for Join Table,Low,Long-Term
multiple spring context files being loaded because value of contextConfigLocation after running web mvc setup,Medium,Short-Term
Missing image in documentation,Low,Long-Term
Roo does not deploy onto Tomcat,Low,Long-Term
ROO doesn't like enclosed Expressions in Annotations,Low,Long-Term
"database reverse engineer --activeRecord ""false"" clobbers --activeRecord ""true"" option",Low,Long-Term
Scaffolded controller does not respect @RequestMapping of referenced entity,Low,Long-Term
Roo cannot connect to addon repository through proxy,Medium,Long-Term
Java class Import,Medium,Short-Term
Cannot present nested annotations unless created by this class,Medium,Long-Term
Getter and setter are not removed from Jpa_Entity file,Medium,Long-Term
RevEng: Cannot create entity when fieldname in db has a special character,Medium,Long-Term
jetty-maven-plugin 8.1 ignores contextPath setting,Low,Long-Term
"""field reference --notnull"" has no label",Medium,Long-Term
Roo Bot does not publish add ons,Medium,Short-Term
NPE on starting up roo shell,Low,Short-Term
Roo re-writing imports on addition of new finder ,Low,Short-Term
Version is required for org.apache.maven.plugins:maven-site-plugin,Low,Short-Term
Cannot present nested annotations unless created by this class,Low,Long-Term
Cannot run a GWT/GAE application using mvn gwt:run using the default pom.xml file,Low,Short-Term
Datanucleus Enhancer does not run in STS,Low,Long-Term
Open JPA and Java 7 problem,Low,Long-Term
RooBot addon registration does not work,Medium,Long-Term
Spring Roo command line doesn't seem to work on Mac,Medium,Short-Term
The auto generated object and the testing file get failure if a secondary table is used for many-to-many relationship.,Medium,Long-Term
Expenses sample - issues in Roo 1.2.2,Medium,Short-Term
testRemove() Failed to remove,Medium,Short-Term
"Roo ""addon create advanced"" gives pom errors",Medium,Short-Term
Created Roo add-on throws stack trace on exit of Roo shell,Low,Long-Term
missing roo components in maven repository,Medium,Short-Term
@RequestMapping value bug,Low,Short-Term
IE downloads pages of Spring MVC app instead of displaying them,Medium,Long-Term
mvn gae:run - Unable to restore the previous TimeZone,Medium,Long-Term
Changing @SessionScoped to @ViewScoped makes entity creation to silently fail,Medium,Short-Term
Using .* imports can cause Roo to generate invalid ITDs,Medium,Short-Term
JavaDoc comments on entity source files lost when Roo updates the file,Low,Short-Term
prematured end of file,Medium,Short-Term
Cannot install cloud foundry add on in 1.2.1.RELEASE - Unsatisfied requirement(s),Medium,Short-Term
Roo MVC Sometimes Improperly Names Labels in application.properties File for Subcomponents of Composite Keys,Low,Short-Term
npe on roo shell startup ,Low,Short-Term
Cloud Foundry addon 1.2.1 unavailable via Roo shell,Medium,Long-Term
~ (tilde) broken in Roo scripts,Medium,Short-Term
return of STS-1257 - Unable to run script file in roo dev shell without using fully qualified name,Low,Short-Term
spring_roo_pgp.bpg becomes corrupt in multi build environment,Low,Short-Term
DBRE fails with messge Field  already defined in ITD when column name is the same as a table name,Low,Short-Term
Roo Web Scaffolding uses mismatched model names in form/controller pairs for entities that begin with consecutive capital letters,Low,Short-Term
Documentation missing in Roo 1.2.1,Low,Short-Term
I Can't use Spring Roo ,Low,Short-Term
NPE (NullPOinterException) while starting Roo,Low,Short-Term
"""web mvc setup"" leads to ""Referenced file contains errors..."" in Spring config files",Low,Short-Term
Roo Service stopping Roo from scaffolding web mvc controllers ,Low,Short-Term
Init methods in DataOnDemand do not honour quantity attribute when loading existing entities,Low,Long-Term
@RooMongoEntity on a child entity duplicates the entity id,Low,Long-Term
Entity generator duplicates packages when using an abstract class,Low,Long-Term
Changing multimodule.roo sample to JPA provider DataNucleus causes build failure,Medium,Long-Term
Failing to include surefire default-test execution goal causes Roo shell issues,Low,Long-Term
RequestMapping with array of paths causes ClassCastException in ControllerOperationsImpl.getExistingController() when trying to run 'web mvc all',Low,Long-Term
@RooJpaActiveRecord fails to generate code with generics,Medium,Short-Term
Using JPA inheritance with solr search causes compile errors due to name conflicts,Medium,Short-Term
"Naming conflict with local variable ""document"" conflicts with defining an entity type named ""Document"" which is solr searchable",Medium,Short-Term
Entity-to-String converters can generate empty String,Low,Long-Term
Map two subclasses of the same abstract superclass into two persistence units,Medium,Long-Term
adding solr functionality to an entity breaks application,Medium,Long-Term
"Unable to create entity with name ""Process""",Low,Long-Term
Cannot deploy clinic.roo app to Glassfish 3.1,Medium,Short-Term
Service layer:  transaction is not started for generated methods (in ITD files).,Medium,Long-Term
test integration command: --transactional option without effect,Low,Short-Term
Reference guide gives invalid JSON examples,Low,Short-Term
Spring roo shell error for perform tests,Medium,Long-Term
datanucleus-core-.jar 3.0.7 conflict with maven-datanucleus-plugin,Low,Short-Term
@RequestMapping()  ** in @RooWebJson Controller,Low,Long-Term
can't create multiple jms queues,Medium,Short-Term
spring-context-3.1.0.RELEASE.jar Referenced file contains errors - Schema cannot contain two global components with the same name,Low,Short-Term
NullPointerException when adding a graph relationship to the model,Low,Short-Term
repository jpa command not updating pom for spring-data-jpa jar,Low,Short-Term
DBRE many-to-many fields are not checked for uniqueness when added to ITD builder,Low,Short-Term
Roo fails to create DataOnDemand metadata,Medium,Short-Term
WebJsonMetadata generates incorrect methods in ITD when entities start with more than one capital letter,Low,Short-Term
Typo in base-json.xml,Low,Short-Term
Maven-antrun-plugin breaks shell,Low,Short-Term
Roo_Controller_Json ITDs are deleted in pizzashop sample,Low,Short-Term
"json itd creating incorrect code in controller_json.aj file when Entity Id field is not named ""id""",Medium,Short-Term
non LATIN-1 characters from messages_xx.properties are displayed incorrectly,Medium,Short-Term
Source Jars missing in Maven Repository,Low,Short-Term
"""solr all"" command removes finder links from main menu until shell restart",Low,Short-Term
"The ""task:annotation-driven"" element no longer has a ""mode"" attribute",Low,Short-Term
Help pls! No PackagingProvider found with the ID 'eclipse-feature',Low,Short-Term
"GWT project fails to compile with ""Cannot instantiate the type Set"" (or List)",Medium,Short-Term
JSFOperationsImpl does not give entity xhtml page the correct file name when first created in cases were the entity starts with more than one capital letter,Medium,Short-Term
"(JPA and JSF 2.0) Lazy Loading problem with Set<> in Hibernate, OpenJPA etc (works with Eclipselink!)",Low,Short-Term
Repository commands put focus on entity and its module,Low,Short-Term
"Deprecated ""controller scaffold"" command wrongly puts focus on form backing type's module",Low,Short-Term
Service-related source files created in entity's module instead of currently focused module,Medium,Short-Term
Scaffolding not being correctly generate when using --backingType with a POJO,Low,Short-Term
database introspect does not work with firebird,Medium,Short-Term
GWT setup not working as expected,Medium,Short-Term
Cannot focus on Java type in POM-packaged module,Low,Long-Term
breakpoint is not getting triggered when set on an aspectj controller file. ,Low,Short-Term
JSP views for finders that search collections do not add candidate entities to the UI model,Low,Long-Term
"In JSP finder views, collapsible pane title has wrong entity name",Low,Long-Term
maven-enforcer-plugin issue,Low,Long-Term
jspx field:display attributes do not get bound to model,Medium,Long-Term
Roo 1.2 doesn't update the Spring.version property within the pom.xml to the 3.1 release,Low,Short-Term
ApplicationConversionServiceFactoryBean_Roo_ConversionService - cannot cast the outer type to a reference type.  ,Medium,Long-Term
"""web flow"" command does not add required message codes to application.properties",Low,Short-Term
JSON-accepting controller methods are handling non-JSON requests,Low,Short-Term
NPE when creating class in src/test/java default package,Low,Short-Term
"Controller generated by ""web mvc controller"" command has two methods that map to the same URL",Low,Short-Term
Some Roo annotations are retained at runtime,Medium,Short-Term
"Entity named e.g. ""Person"" works well, while an entity named ""Image"" can not be saved",Low,Short-Term
"WebScaffoldMetadata copies from wrong method's builder when generating ""populateXxx"" methods",Medium,Short-Term
"NPE when ""populateXxxx"" method exists in controller",Medium,Short-Term
"JSON responses have Content-Type ""application/text"" instead of ""application/json""",Low,Short-Term
jsfaddon   Repository  NullPointerException,Low,Short-Term
Unit tests for Spring Roo under windows,Low,Short-Term
Reverse engineering fails when using --testAutomatically,Medium,Short-Term
validationMessageCode is erroneously added to boolean attributes in jspx files,Low,Short-Term
Ansi chars should not display in STS Roo shell,Low,Short-Term
Shell prompt does not show entity in focus after 'entity jpa' command is run using a fully-qualified name such as com.foo.bar.Bar,Low,Short-Term
project shell command doesn't build the source tree correctly,Medium,Short-Term
SQL Server 2008 Date Column generated as java.lang.String,Medium,Short-Term
repository jpa shell command hangs roo,Medium,Short-Term
Roo Integration Test generation fails - Data on demand issue with 2 attributes of same type,Medium,Short-Term
Spring Roo doesn't work with UTF-8 encoded strings.,Medium,Short-Term
"Push in the code,generate ""implements Converter implements Converter """,Low,Short-Term
OS Command ! attempts,Low,Short-Term
Resource Not Found single entity jpa,Medium,Short-Term
"When I just use multimodule.roo(in sample), generated the error bellow ",Low,Short-Term
StackOverflowError when creating entity with composite primary key using shell command ,Low,Short-Term
"""web mvc setup"" adds reference to non existing menu.jspx",Low,Short-Term
Unexpected capitalization of instance variable causes compiler error for Entity Types that start with multiple capital letters,Medium,Short-Term
GWT Request interface not updated when invoked service is deleted,Low,Long-Term
DBRE does not respect paths in a multi-module project,Low,Short-Term
GWT add-on does not respect paths in a multi-module project,Medium,Short-Term
database reverse engineer doesn't recognise nvarchar2,Medium,Short-Term
Selenium test generation broken,Low,Short-Term
Unknown character property name {r} near index 4 when executing expenses.roo in Windows,Low,Short-Term
ROO-2855? Replaced ContextualPath with LogicalPath patch,Low,Short-Term
GWT Scaffold against multi-module roo project switches module focus to project with entity,Low,Short-Term
JSF Scaffold against multi-module roo project switches module focus to project with entity,Medium,Short-Term
Roo uses the wrong EclipseLink Repository,Low,Short-Term
Creating a wrapper addon causes exception in Roo shell,Low,Short-Term
web jsf setup command generates incomplete web.xml if apache myfaces is choose,Medium,Short-Term
DBRE should not consider MySQL table called 'SEQUENCE',Low,Short-Term
"In XxxBean_Roo_ManagedBean.aj, the completeYyy(java.lang.String query) method calls EntityManager#toString",Low,Short-Term
One Dependency constructor ignores specified DependencyType,Low,Short-Term
MVC forms should not display serialVersionUID field for composite primary key classes,Low,Short-Term
web mvc setup creates two mvc servlets in trunk,Medium,Short-Term
Repository Mongo ITD not refreshed when there is a change to the domain type's identifier type,Low,Short-Term
Repository JPA ITD not refreshed when there is a change to the domain type's identifier type,Low,Short-Term
Problem with -ActiveRecord false in roo-gwt,Low,Short-Term
