input_text,priority_binned,bug_resolution_time
Unable to suspend transaction in TransactionSynchronization.afterCompletion() in certain cases,Medium,Short-Term
param->attribute servlet filter broken for some config settings,Low,Long-Term
XmlWebApplicationContext.setConfigLocations() does not correctly implement comments from spring-beans.dtd,Medium,Long-Term
java.lang.ClassCastException in JSP,Medium,Medium-Term
XmlBeanFactory hasn't got constructor with FileInputStream parameter,Low,Short-Term
The ContextLoader cann't close the parent context.,High,Medium-Term
Deadlock issue with single connection in connection pool,Medium,Medium-Term
Hibernate Connection Pool configuration,Medium,Medium-Term
init-method/destroy-method not consistently invoked,Medium,Long-Term
MessageProducers never closed in JmsTemplate,Medium,Medium-Term
SingleColumnRowMapper does not handle CLOBs correctly for jTDS/SQL Server,Medium,Long-Term
"Custom Property Editor not applied to ""typed"" values in map",Low,Medium-Term
Java doc error,Low,Short-Term
Typing error on http://www.springframework.org/docs/reference/mvc.html,Low,Short-Term
Constructor does not take &amp;,Low,Long-Term
Portlet User Attributes (from PortletRequest.USER_INFO) not supported correctly,Medium,Short-Term
Transaction participator should not make the decision to roll back transaction,Low,Long-Term
dropDatabaseSchema does not work with Postgres,Medium,Medium-Term
PetClinig build.bat not space in path friendly.,Low,Long-Term
ServletRequestBindingException in PetClinic,Medium,Medium-Term
Use of implementation class instead of interface,Medium,Medium-Term
"DefaultListableBeanFactory failed to find bean, which should be there according to the error message",Medium,Long-Term
Chapter 20 - JMX - minor misspellings etc.,Low,Long-Term
Short-hand error for constructor ref,Low,Medium-Term
Can't run multiple-config junit tests from within Eclipse,Low,Long-Term
Static factory-method instantiated beans can break type-safety.,Medium,Long-Term
Static Instance Factory initialised Beans not created.,Medium,Long-Term
Only Maven.xml (not Build.xml) includes JNDI classes into spring-jdbc.jar,Medium,Short-Term
Hardcoded locations in Petclinic /db/build.xml,Low,Medium-Term
"ResourceUtils.getFile(java.net.URL, java.lang.String) throws FileNotFoundException if the URL has protocol of jar",Medium,Long-Term
broken link for reference-libraries.zip,Low,Medium-Term
ApplicationListener registration is broken,Medium,Long-Term
core.io.ClassPathResource falsely assumes every Thread has a ContextClassLoader,Medium,Medium-Term
Cannot configure CustomizableTraceInterceptor in spring-beans file,Medium,Short-Term
Transactional annotation on interface method doesn't work with cglib,Low,Medium-Term
Hibernate 3 typedef support does not add typedefs early enough,Medium,Medium-Term
use locale of spring for jasperreports i18n,Medium,Short-Term
Missing property in JMX reference doc,Medium,Long-Term
PropertyResourceConfigurer.convertPropertyValue never gets called,Medium,Short-Term
MethodInvokingFactoryBean does not support autowiring,Medium,Short-Term
JdbcTemplate.queryForRowSet only works with Java 1.5,Low,Short-Term
Hibernate aggressive release and read-only/read-write transactions,High,Short-Term
javadoc target fails in build.xml when behind firewall with proxy,Low,Short-Term
Wrong method matched with null parameter (despite explict type),Medium,Short-Term
Actions no long wired with message sources,Medium,Medium-Term
TypeMismatchException when there are multiple setters that differ only by parameter type,Medium,Medium-Term
Lazy loading fails in spite of Hibernate OpenSessionInViewFilter when using Struts plugin,High,Long-Term
implementing different types of advices in the same class does not work,Low,Long-Term
Quartz SchedulerFactoryBean error,Medium,Short-Term
getAsText not called in PropertyEditor after onSubmit invocation,Medium,Medium-Term
Possibly xml parsing issue,Medium,Short-Term
java.lang.NoClassDefFoundError: javax/transaction/TransactionManager,Medium,Short-Term
Fix HTTPS handling for JasperReports in IE,Medium,Long-Term
JPetStore sample hsqldb server.sh has DOS new-lines,Low,Medium-Term
Parsing map entry with null key value fails,Medium,Medium-Term
AbstractXsltView issue on Resin,Medium,Long-Term
Inherited inner bean definition requires name,Low,Medium-Term
MethodInvoker not selecting correct overloaded methods,Medium,Long-Term
formSingleSelect and formMultiSelect don't work for ref data Maps with numeric keys,Low,Long-Term
ConcurrentModificationException in HibernateTransactionManager.doGetTransaction,Medium,Long-Term
resolving xml entities,Medium,Medium-Term
"Upgade Spring to 1.2 RC2 and Hibernate to hibernate3, causes issues",Medium,Short-Term
Spring frame work can not find constructor ,High,Long-Term
Difference between classpath: and classpath*:,Low,Long-Term
Incompatibility between @ManagedResource and @Transaction,Medium,Long-Term
hibernate LocalSessionFactoryBean mappingDirectoryLocations doen't resolve classpath*:,Low,Long-Term
AbstractRefreshableTargetSource.getTargetClass() does not call getTarget(),Low,Short-Term
backward compatibility broken with 1.2 RC2,Medium,Short-Term
Log4J error with spring frame work.,Low,Short-Term
issue with query.setReadOnly(true) in H3 SessionFactoryUtils#applyTransactionTimeout,Medium,Short-Term
Dependency checking doesn't work for beans using method injection,Medium,Short-Term
Enhance WebContentGenerator.setCacheSeconds to support FireFox no-store,Low,Short-Term
Unsatisfied dependency error in property 'callbacks' error when using lookup-method injection with dependency check with cglib 2.1,Medium,Medium-Term
NullPointerException when using replaced-method with typed parameters,Medium,Short-Term
Incorrect value from bind tag when returning from subflow,Medium,Medium-Term
 Deadlock Issues with MSSQL when Multithreading,Low,Long-Term
SqlFunction causes ClassCastException,Low,Long-Term
FieldRetrievingFactoryBean's handling of whitespace.,Low,Short-Term
prepareQuery method in HibernateTemplate should be made public,Low,Short-Term
InstantiationException when there are circular dependencies,Medium,Long-Term
Problem with ClassPathXmlApplicationContext using patterns for configLocations,Medium,Long-Term
Fix MethodInvoker to return NULL if the invocation returns null (instead of VoidType),Medium,Medium-Term
wrong package name in doc: org.springframework.mvc,Low,Short-Term
"Cannot load Context with JDK 1.3.0, fails when try to log information.",Medium,Medium-Term
Cannot resolve constuctor to call on a String object for constructor based injection,High,Long-Term
Conflict between advice and jmx,Medium,Short-Term
spring beans configuration not loaded on JRockit 1.4.2_05 JVM,Medium,Medium-Term
quartz scheduler factory cannot produce multiple schedulers,Medium,Long-Term
LazyConnectionDataSourceProxy doesn't work with log level DEBUG,Medium,Short-Term
SingleColumnRowMapper does not expose JavaBeans properties,Medium,Medium-Term
Weird freemarker behavior with spring.ftl,Low,Medium-Term
Misleading exception message on EJBHome lookup failure,Low,Short-Term
No way to set listeners on the SessionFactory,Medium,Medium-Term
"""Invalid property"" error for attribute name where the first letter is small and the second is capitalized",Medium,Short-Term
release ant target broken,Medium,Medium-Term
DefaultXmlBeanDefinitionParser.getTextValue() does not support entity references,Medium,Short-Term
Oracle 10g Jdbc thin driver ,High,Long-Term
LocalDataSourceJobStore setting a TX datasource for nonManagedTXDataSource,Medium,Short-Term
MBeanExporter incorrectly handles AOP proxies,Medium,Short-Term
JmsConsumerFactoryBean single property incorrect,Medium,Short-Term
ReloadableResourceBundleMessageSource not reloadable,Low,Short-Term
currencyTimeLimit should only be set of positive,Medium,Short-Term
ExporterParameters not working as expected in JasperReports.,Medium,Medium-Term
ManagedAttribute currencyTimeLimit has no effect,Medium,Short-Term
TokenBasedRememberMeServices int overflow,Medium,Medium-Term
UrlPathHelper.getPathWithinApplication broken for Resin 2.1.11,Low,Short-Term
Backward compatibility broken in Spring 1.1.5 regarding default MessageSource in ApplicationContext,Medium,Short-Term
"""classpath:"" syntax does not work inside JAR files",Medium,Short-Term
BindException.getFieldValue(String) uses PropertyEditor.getAsText() instead of getValue(),Medium,Long-Term
invalid doSubmit method executed for SimpleFormController,Medium,Long-Term
AbstractWizardFormController with sessionForm=false NPE,Medium,Medium-Term
javax.management.MalformedObjectNameException: Missing ':' character in ObjectName exception. ,Low,Short-Term
Not aplying interceptors when registering controllers with the CommonsPathMapHandlerMapping,Medium,Long-Term
TransactionManagerName is not used when no userTransaction specified,Low,Medium-Term
Multiple schedulers,Medium,Medium-Term
JmsConnectionFactoryBean Does Not Handle Null Usernames/Passwords,Medium,Short-Term
JDBCAccessor forces JDBC connection to be created during initialization,High,Short-Term
Duplicate resources in PathMatchingResourcePatternResolver.findAllClassPathResources,Low,Medium-Term
IllegalAccessException/InvalidPropertyException in AbstractWizardFormController,Medium,Short-Term
ReloadableResourceBundleMessageSource requires cacheSeconds to be refreshable,Low,Long-Term
AopUtils#getAllInterfacesForClassAsList might yield duplicates,Low,Short-Term
BeanUtils.copyProperties doesn't respect ignoreProperties,Low,Long-Term
DataSourceUtils.doCloseConnectionIfNecessary '==' not sufficient.,Medium,Long-Term
AbstractBeanFactory.getType() ignores exceptions,Medium,Long-Term
Binding to a Long complains when the value is null.,Medium,Short-Term
old version of  mysql driver bundled,Low,Short-Term
Step-by-step tutorial broken with HSQLDB 1.7.2+,Low,Long-Term
cayenne-1.1.jar in CVS includes old version of some apache classes,Low,Long-Term
Old version of jasperreports library jar still in CVS,Low,Long-Term
Spring doesn't recognize MySQL deadlock exceptions,Medium,Long-Term
setSingleton in AbstractFactoryBean,Medium,Long-Term
BindException calls setValue() with toString'ed() version of Object,Medium,Medium-Term
Transaction timeout not always enforced,Low,Medium-Term
Application listeners that are prototypes aren't auto-added when instantiated,Medium,Medium-Term
referenceData() in AbstractFormController is never called.,Low,Medium-Term
formBackingObject created even if sessionForm is set to true.,Low,Long-Term
SingletonBeanFactoryLocator recursion problem,Medium,Long-Term
AbstractWizardController should check for valid pages or at least report an error,Low,Long-Term
Still too early connection closing when using OSIVI,Medium,Medium-Term
Documentation Code Error,Medium,Short-Term
MockHttpServletRequest.getSession(true) does not always create a session,Medium,Short-Term
DefaultPropertiesPersister exception on zero length line,Medium,Short-Term
Double closing connection with Hibernate,Medium,Short-Term
ClassCastException with MethodMapTransactionAttributeSource,Medium,Short-Term
TransactionAwareDSP with iBatis duplicates ConnectionSynchronization in TransactionManager,Medium,Short-Term
org.springframework.util.StringUtils#tokenizeToStringArray not honoring ignoreEmptyTokens parameter,Medium,Medium-Term
Remote EJB access lacks narrowing,Medium,Long-Term
OpenSessionInViewFilter with JTA Transactions,Medium,Medium-Term
"After a successfull validation Spring does not call the onSubmit method with signature of (request, response,object, bindexception)",Medium,Long-Term
New cglib-nodep-2.1-dev.jar breaks sandbox build,Medium,Medium-Term
Proxied beans dependent on each other fail to initialize,Medium,Long-Term
Proxy interface order undefined,High,Short-Term
LocalSessionFactoryBean violates contract of the FactoryBean interface,Medium,Long-Term
Fail to read property file indexed property keys with dots,Medium,Long-Term
"StringUtils.trimLeadingWhitespace causes ""String index out of range""",Medium,Short-Term
iBatis batch API ,Medium,Short-Term
WebSphereNativeJdbcExtractor doesn't work on Websphere 5 with version 4 datasource,Low,Short-Term
FreeMarker macro spring.url dodumented but not implemented,Medium,Short-Term
ContextLoader Problem in Oracle 9ias/OC4J,Medium,Long-Term
NoClassDefFoundError:  Cglib2AopProxy$StaticUnadvisedExposedInterceptor,High,Short-Term
cosmetic: javadoc missing end tag for bold text (AbstractApplicationContext),Low,Short-Term
Last Bean in an interceptor list has to be in local context,Medium,Long-Term
Wrong value in Quartz Cron job,Low,Short-Term
HibernateTemplate.checkWriteOperationAllowed > NullPointerException,High,Short-Term
Wrong quartz CronTriggerBean sample ,Low,Short-Term
Problem bind boolean values on freemarker,Medium,Short-Term
NullPointerException in HibernateTemplate,Medium,Medium-Term
Setting WebappRoot  prevents redeploying of the application,Medium,Medium-Term
AbstractEnterpriseBean depends on ejbRemove,Medium,Long-Term
jdbc.support.SQLErrorCodesFactory.getErrorCodes() log spam,Medium,Medium-Term
SessionFactoryUtils.getSession(..) before PROPAGATION_REQUIRED,Medium,Medium-Term
Fix IE Rendering Problems with JasperReports Views,Medium,Short-Term
MultipartRequest doesn't work with a wizard controller,Low,Long-Term
Email attachments don't appear in Lotus Notes,Low,Long-Term
[sandbox] Spring-JMX: ,Medium,Long-Term
Missing dependencies in project.xml and project.properties,Low,Short-Term
id attribute ignored on beans in a list,Medium,Short-Term
Jakarta commons-logging classloader issue on session close,Low,Long-Term
autowire fails if beans are not in specific order in xml config,Medium,Long-Term
Same multicaster invoked more then once for single event,Medium,Medium-Term
JRun 4 java.lang.NullPointerException,Medium,Medium-Term
NPE in MockHttpServletRequest#getHeaders,Medium,Short-Term
JmsTemplate.receiveAndConvert throws exception on timeout,Medium,Short-Term
Spring transaction manager behavior problem when a JTA transaction timed out,Medium,Long-Term
A default toString() is missing from Spring JAX-RPC,Low,Medium-Term
"
BeanNameAutoProxyCreator silent when referencing non-existent bean",Medium,Short-Term
JmsTemplate not working with JTA,Low,Short-Term
JasperReportsPdfView doesn't set content size for IE,Low,Short-Term
Integration of EJB CMT with Spring Framework,High,Long-Term
LocalSession Factory does not work with JndiObjectFactoryBean,High,Short-Term
MockPageContext.getAttributeNames returning values instead,Medium,Short-Term
Hibernate session closed after transaction was commited.,Medium,Long-Term
MockHttpServletRequest.setAttribute throwing NPE,Medium,Short-Term
Request attributes snapshot and Tomcat 5.0,Medium,Short-Term
HibernateTemplate Javadoc mistake,Low,Short-Term
NullPointerException when using DependencyInjectionInterceptor with a composite id,Low,Long-Term
project.xml needs to be updated for velocity-tools (generic and view),Low,Short-Term
Oracle SQLException during jdbcTemplate.queryForList with null values,Medium,Medium-Term
MockHttpServletResponse should flush the writer before getContentAsByteArray() and getContentAsString(),Low,Medium-Term
MockHttpServletRequest add parameter uses hashtable - cannot multi params,Medium,Medium-Term
NPE in HibernateTemplate using Iterator,Medium,Medium-Term
NPE initializing factory bean,Medium,Medium-Term
Bean property not able to resolve correct method to use when being instantiated,Medium,Medium-Term
load() don't throws the HibernateObjectRetrievalFailureException,Medium,Long-Term
Quartz not properly shutting down in tomcat.,Medium,Short-Term
singleton bean autowire creates multiple instances,Medium,Long-Term
no messagesource in context means parent context message source not used,Low,Short-Term
Iterator returned in PersistenceBrokerTemplate unusable since broker is closed,Medium,Short-Term
docpdf target broken,Low,Short-Term
Spring JtaSessionSynchronizer not able to close session when used across Weblogic Domains,High,Medium-Term
Error in spring mail reference documentation,Medium,Short-Term
"Velocimacro springFormSingleSelect  doesn't recognize ""false"" value in options hashtable",Medium,Short-Term
CGLIB proxy creation fails if unadvised target calls method during constructor.,Medium,Short-Term
Missing support class for Struts MappingDispatchAction,Medium,Short-Term
Instance factory method usage causes double factory creation,Medium,Short-Term
DefaultListableBeanFactory.getBeansOfType() returns no results when a proxied class is specified,Medium,Medium-Term
SimpleMappingExceptionResolver not iterating Exception Mappings in user-determined order,Low,Short-Term
Type mismatch when using custom property editors with Spring JMX,Medium,Short-Term
JndiObjectFactoryBean does not implement InitializingBean,Medium,Medium-Term
BeanCurrentlyInCreationException possibly due to TransactionProxyFactoryBean,Medium,Medium-Term
SimpleMappingExceptionResolver defaultErrorView ignores mappedHandlers,Low,Short-Term
Confusing error messages in BeanWrapper when retrieving non-existing nested properties,Low,Short-Term
Error in reference to transaction chapter,Low,Short-Term
AbstractWizardController Doesn't Check Global Errors,Medium,Short-Term
Investigate HTTP Invoker Performance Problem,Medium,Medium-Term
CookieLocaleResolver save cookie false with Tomcat 5.5.4,High,Medium-Term
AbstractJasperReportsView.getReportData,Medium,Short-Term
Call to System.out.println in static initializer of HtmlUtils,Low,Short-Term
Spring overwrites localizationContext Context Param in Webapps,Medium,Medium-Term
RdbmsOperation shouldn't log as it's subclasses,Low,Medium-Term
AbstractPathResolvingPropertyEditor is incompatible with jdk1.3 (StringBuffer usage),Low,Short-Term
javadoc link error in org.springframework.orm.hibernate.SessionFactoryUtils,Low,Medium-Term
HibernateTransactionManager  and SQLExceptionTranslator,Medium,Short-Term
JmxMBeanAdapter: conflict with PropertyPlaceholderConfigurer,Medium,Medium-Term
Not compatible with JDK 1.3,High,Short-Term
Wizard Controller not calling processFinish(),Medium,Medium-Term
javadoc missing for ...aop.AfterReturningAdvisor.afterReturning,Low,Long-Term
Issue SPR-368 (AOP proxy creation breaks property initialisation) not fixed in 1.1.2 ,Medium,Long-Term
incorrect html in spring.vm,Low,Short-Term
destroySingletons() not taking dependencies between top-level singletons into account,Medium,Short-Term
PropertyPlaceholderConfigurer incompatible with J2SE 1.3,Medium,Short-Term
<spring:message> tag does not work without DispatcherServlet,Medium,Long-Term
spring 1.1.2 breaks java 1.3 backward compatibility ,High,Short-Term
JMX proxy does not work with located MBeanServer,Low,Short-Term
some sandbox src uses 'enum' for var names,Medium,Long-Term
NullPointerException in BeanWrapperImpl when handling property editors for map elements,Low,Short-Term
Potential NPE in UrlBasedViewResolver,Medium,Short-Term
Dependency checking not happening correctly in XmlWebApplicationContext,Medium,Short-Term
ModelAndView.addObject() no use when null model,Low,Short-Term
NullPointerExceptions in MimeMessageHelper,Low,Short-Term
Setting ProxyFactoryBean to frozen is NOT possible anymore,Medium,Long-Term
NullPointerException thrown when StaticApplicationContext becomes parent,Medium,Short-Term
MethodInvokingJobDetailFactoryBean doesn't implement Serializable,Medium,Medium-Term
FieldRetrievingFactoryBean doesn't work with instance fields,Medium,Short-Term
Bean property binding multi dimentional array or collection error,Medium,Medium-Term
Transactions don't commit per request,Medium,Long-Term
session.flush executes sql that were rolled back,Medium,Short-Term
problems with sessionHolder.rollbackOnly,Medium,Short-Term
MultiActionController,Medium,Short-Term
spring.tld incompatible with JRun's tag handling (which has a bug),Medium,Short-Term
ProxyFactoryBean getObjectType broken for prototypes in some cases,Medium,Medium-Term
springframework.org has old spring-beans.dtd,Medium,Long-Term
ArrayOutOfBoundsException thrown by DefaultListableBeanFactory when using abstract beans and Velocity views,Medium,Short-Term
"Inconsistent usage ""BeanDefinition"" -> ""beandefinition""",Low,Short-Term
Spring Framework Reference 1.1.x: Punction error,Medium,Short-Term
Session grabbing in the wizardformcontroller,Medium,Long-Term
NoSuchObjectException should be translated to RemoteConnectFailureException iso RemoteAccessFailureException,Medium,Short-Term
Constructor autowire fails if there's at least one abstract bean in context,High,Short-Term
HSSFWorkbook workbook variable in AbstractExcelView,High,Short-Term
"Incorrect bean id in ref. man., section 5.10.2 -- ""advisor"" should be ""autoproxy""?",Medium,Short-Term
Must define id for bean that has a parent attribute.,Low,Short-Term
Attribute-based transactions produce excessive memory usage when applied to prototypes,Medium,Short-Term
Lookup problem in ClassPathXmlApplicationContext,Medium,Short-Term
Binding problem with ServletRequestDataBinder,Medium,Short-Term
ref local does not consider name attribute,Medium,Short-Term
URLPathHelper raising index out of bounds exception,Medium,Short-Term
OpenSessionInViewFilter plus CMT not handled propertly by SessionFactoryUtils for existing trans,Medium,Short-Term
Misrouting of page views in wizard controller,Medium,Short-Term
Documentation Fix for ObjectFactoryCreatingFactoryBean,Medium,Long-Term
JSF-Spring 2.6 incompatible with current CVS head,Medium,Medium-Term
SingletonBeanFactoryLocator createDefinition can throw exception without nested 'cause' detail exception,Low,Short-Term
Ambiguous constructor auto-wiring and inconsistent behaviour,Low,Long-Term
Spring-beans.dtd - misleading comments,Low,Short-Term
JMX sandbox component supports only one bean per JmxMBeanAdapter,Low,Medium-Term
freemarker macros don't support Hash options param,Low,Medium-Term
Doco errors (beans.xml),Low,Medium-Term
Lookup method does not work with overloaded method when autoproxied,Low,Medium-Term
BeanFactory only destroys inner beans that implement DisposableBean,Medium,Medium-Term
SQLErrorCodesFactory logger.info() spamming,Medium,Medium-Term
ManagedMap does not implement toString(),Medium,Short-Term
"HibernateDaoSupport.load(Object,Serializable)",Medium,Short-Term
NPE in JDBCTemplate if no datasource set,Low,Short-Term
Circular dependency in  DependencyInjectionInterceptorFactoryBean,Low,Medium-Term
ClassCastException ,Medium,Short-Term
"inner ""bean"" element with ""parent"" attribute is forced to have an ""id""",Medium,Short-Term
NamingStrategy should be specifiy before config.configure(),Medium,Short-Term
MimeMessageHelper: problem with inlines,Low,Short-Term
"ResourceEditor.resolvePath(String) should loop through ALL placeholders, not just first",Low,Short-Term
ClassCastException with ProxyFactoryBean that implemets ApplicationListener,Medium,Medium-Term
"""enum"" is a keyword as of JDK 5.0",Low,Short-Term
AOP proxy creation breaks property initialisation,Medium,Long-Term
Taglib documentation for errors.globalErrors is incorrect,Low,Short-Term
requires_new transaction attribute doesn't  work with hibernate.,Medium,Short-Term
Error When Proxying PersistenceBrokerDaoSupport,Medium,Short-Term
(jpetstore) Uppercase table names incompatible with certain unix distro's,Medium,Short-Term
Custom editor config in applicationContext.xml not available in servlet config,Medium,Short-Term
status.value in spring:bind does not call PropertyEditors for objects,Low,Medium-Term
NotWritablePropertyException when registering a Component class,Low,Long-Term
inconsistent behavior between DefaultLobHandler and OracleLobHandler,Medium,Short-Term
BlobSerializableType doesn't set BLOB column to NULL,Medium,Short-Term
spring:message tag produces incorrect results when passwd variables contain comma,Medium,Short-Term
JPetStore sample - user registration does not handle duplicate User ID,Low,Long-Term
MethodInvokingJobDetailFactoryBean breaks,Medium,Long-Term
jstl fmt:setLocale tag doesn't work with jstlview,Low,Medium-Term
Already value for key bound to thread,Medium,Long-Term
Cannot use SingleConnectionDataSource in ant task due to classloader problem,Medium,Medium-Term
deepCopy in BlobByteArrayType throws NPE,Medium,Medium-Term
ProxyFactoryBean does not work with prototype advisors/interceptors,Medium,Medium-Term
Javadoc: Missing javadoc for ejb base classes,Low,Medium-Term
getBeansOfType fails when abstract bean exist in the context,High,Medium-Term
CustomDateEditor date/string conversion problem,Low,Medium-Term
BeanFactory does not take bean-refs into account for destruction order,Medium,Medium-Term
SingletonBeanFactoryLocator uses URL *Strings* instead of object-references for resources,Medium,Long-Term
Incorrect properties setting sequence in LocalSessionFactoryBean,Medium,Medium-Term
BlobSerializableType doesn't override deepCopy,Low,Medium-Term
NullPointerException thrown by AbstractSlsbInvokerInterceptor.create,Medium,Medium-Term
Abstract Beans Causes Error With Velocity View,Medium,Short-Term
Setting wrong PageContext scope in NestedPathTag.java,Medium,Short-Term
Problems with Apache Commons DBCP,Low,Long-Term
MetadataModelMBeanInfoAssembler assumes a ManagedAttribute has both get and set methods,Medium,Medium-Term
Incorrect spring.ftl in dist/spring.jar,Medium,Short-Term
shell scripts in samples should not have DOS line delimiters,Medium,Short-Term
StringTrimmerEditor handles nulls inconsistently,Medium,Short-Term
PropertyPlaceholderConfigurer does not work for inner beans as constructor args,Medium,Short-Term
"Exception when nulls encountered in JdbcTemplate.update(String, Object[])",Medium,Short-Term
java.lang.IllegalStateException: Unknown callback class org.springframework.aop.framework.Cglib2AopProxy$DynamicAdvisedInterceptor,Medium,Short-Term
spring tx and ejb cmt not fully compatible if ejb is RequiresNew,Medium,Short-Term
proxyTargetClass not working with BeanNameAutoProxyCreator,High,Long-Term
Can't proxy first prototype instance,Low,Medium-Term
Cannot proxy classes lacking no-arg constructor using CGLIB,Medium,Long-Term
PropertyResourceConfigurer doesn't handle Properties with defaults properly,Low,Short-Term
StringArrayOutOfBoundsException when accessing Spring via Welcome File,Medium,Short-Term
FreeMarker exception handling is erroneous for parsing errors,Low,Short-Term
BeanWrapperImpl registration of editors for nested paths with null values,Medium,Short-Term
ThreadLocalTargetSource not threadsafe,Medium,Short-Term
"""apartment"" in the logger.info call in ThreadLocalTargetSource.getTarget()",Low,Medium-Term
JTA transaction doesn't work in 1.1 RC2,High,Medium-Term
Incorrect content type outputted by AbstractXsltView,Medium,Short-Term
Incorrect directory only path matching in PathMatcher,Low,Long-Term
Countries sample in CVS not building,Low,Short-Term
problem bean of type java.io.File with single constructor-arg,Medium,Medium-Term
Bean does not inherit parent properties when class name is also provided,Medium,Short-Term
ConcurrentModificationException in AbstractApplicationContext.getBeansOfType(),Medium,Short-Term
ConcurrentModificationException in Transaction Synchronization,Medium,Short-Term
Write operations are not allowed in read-only mode - turn your Session into FlushMode.AUTO respectively remove 'readOnly' marker from transaction definition ,Medium,Long-Term
java.lang.NoClassDefFoundError on redeploy,Low,Short-Term
*.hibernate.LocalSessionFactoryBean doesn't trim spaces for props,Medium,Short-Term
JtaTransactionManager don't resume EJB transaction marked for rollback,High,Long-Term
Minor mistake in documentation chapter 3,Low,Short-Term
BindException.getFieldValue() fails when nested path set,Low,Short-Term
PropertyEditor not invoked when setter throws an Exception,Low,Medium-Term
HibernateTemplate find and findByNamedQuery methods signature,Medium,Short-Term
HibernateTemplate find method signature issue,Medium,Short-Term
"CustomEditorConfigurer should support ""[]"" syntax for array types",Medium,Short-Term
Reflection problem instantiating bean,Medium,Short-Term
Bean definition without class specification does not work,Low,Short-Term
Tomcat 5.0.27 context loading problem,Medium,Medium-Term
Can't build Spring with Ant 1.6.2 and JDK 1.5,Low,Short-Term
Broken Build - JmsTemplate Tests,Low,Short-Term
More than one BeanNameAutoProxyCreator without an id doesn't work,Medium,Medium-Term
build process doesn't include spring.vm for Velocity macros,Medium,Short-Term
Cannot use a bean from applicationcontext.xml if it is extended from HibernateDaoSupport,High,Short-Term
"Get singleton object even with singleton=""false""",Low,Medium-Term
Possible Bug in BeanDefinitionReaderUtils.java ??,High,Long-Term
Tests fail on ServletContext,Medium,Medium-Term
BeanWrappers and indexed properties changed at runtime,Low,Short-Term
OpenSessionInViewFilter logging at info level for every request,Medium,Short-Term
Link to J2EE Design and Development is invalid,Low,Short-Term
AbstractFormController does not handle bind errors,Medium,Short-Term
SessionFactoryUtils doesn't handle EJB CMT RequiresNew correctly,Medium,Short-Term
docpdf target broken,Low,Medium-Term
"autowire=""constructor"" on FactoryBean causes infinte loop",Medium,Long-Term
Trying to add a  Cutom Editor to a particular attribute of type array,Medium,Short-Term
DB2 UDB for AS/400 Not Detected As DB2 in SQLErrorCodesFactory,Low,Short-Term
PropertyPlaceholderConfigurer cann't work in inner bean,High,Short-Term
OpenSessionInViewFilter and SessionFactoryUtils and Transactions,Medium,Medium-Term
BeanWrapperImpl marks readable properties as 'unradable' (inside array's and java.util.Properties),Medium,Medium-Term
JavaDoc typo for AbstractController,Low,Short-Term
Lose content for BinaryStream data getting from resultset by using SpringJdbc,High,Long-Term
PagedListHolder set dependencies on a Bind,Low,Short-Term
HibernateTransactionManager infinite loop when updating/inserting to many-to-many,Medium,Short-Term
documentation bug for AOP RegexpMethodPointcutAdvisor,Low,Short-Term
CommonsMultipartResolver results in NPE when using MockServletContext,Medium,Short-Term
PropertyPlaceholderConfigurer does not take absolute path as location,Medium,Short-Term
PropertyPlaceholderConfigurer does not recognize default properties,Low,Short-Term
use CGLIB Factory to generate proxy instances after first instance,Low,Medium-Term
Bug in property replacement using PropertyPlaceholderConfigurer,Low,Medium-Term
requiredUniqueResult in DataAccessUtils returns (!!) IncorrectResultSizeDataAccessException,High,Short-Term
Javadocs for AbstractController incorrect,Low,Short-Term
Error using JaxRpcPortProxyFactoryBean with an interceptor,Low,Short-Term
MethodInvokingFactoryBean if refered to by pre-instantiated singleton isn't prepare()d,Medium,Short-Term
i18n message format type ResourceBundleMessageSource,Low,Short-Term
JdbcTemplate debug information,Medium,Short-Term
Ignoring properties won't work for indexed properties,Medium,Short-Term
Stranded beans if can't pre-instantiate all singletons,Low,Short-Term
TransactionInterceptor does not handle inherited methods,Medium,Medium-Term
No PropertyEditor for java.lang.Boolean available,Medium,Medium-Term
ReloadableResourceBundleMessageSource path problem with foo.bar.Message,Low,Medium-Term
OpenSessionInViewFilter doesn't implement required WebLogic 6.1 javax.servlet.Filter methods,Low,Short-Term
Comments in DispatcherServlet incorrect,Low,Short-Term
Cannot get SQL Error Codes from Sybase ASE 12.5.1,Low,Short-Term
Charset is hardcoded to ISO-8859-1,Medium,Medium-Term
ResourceEntityResolver ,Low,Medium-Term
ResourceEditor not executed on post processed lists,Medium,Long-Term
BeanFactory can't convert a String representing an array to a Class,Medium,Medium-Term
readonly transaction attribute doesn't seem to work.,Medium,Medium-Term
ArrayIndexOutOfBoundsException with AOP,Low,Long-Term
MockHttpServletRequest.getParameterValues() throws NPE,Medium,Short-Term
Property 'useSqlStateForTranslation' is not writable in bean class [org.springframework.jdbc.support.SQLErrorCodes,Medium,Long-Term
CustomDateEditor and null values,Low,Short-Term
NoSuchMessageException hierarchical MessageSource,Medium,Medium-Term
CustomDateEditor does not allow null date to be converted to text,Low,Short-Term
DelegatingIntroductionInterceptor does not pick up inherited interfaces,Medium,Short-Term
Reference Documentation error in section 6.4.1,Medium,Long-Term
JobDetailBean doesn't respect ApplicationContextAware,Medium,Long-Term
